organization/TMC,Dataset ID,Donor ID,Organ ID,Direct Ancestor Tissue Sample ID,Dataset Name (optional),Organ/Tissue,Assay,Data Modality,Pipeline processed? (Blood / Ruffalo),TMC/RTI/TTD vs. HIVE processed?  (Blood / Ruffalo),Human Curated? (Briggs),TMC signed off on dataset,Donor metadata received,Donor metadata ingested? (Silverstein),Contains ID-able seq data (Brusko),Reference IRB,IRB data classification,File types included,"Size of data set (i.e. cells, or other relevant proxy)",Instrument name,Instrument model,Application software name,Application software version,globusUrl,localPath,createdBy,creationDate,Flow cell,Sequencing Library pool concentration,PhiX%,Sequencing read format,Paired/Single End,Sequencing Chemistry,reference genome,Preprocessing pipeline,# Cells returned post sequencing,% reads in cells,mean reads/cell,median genes/cell,Sample Index well ID,
UCSD/WASHU,HBM742.SLJJ.558,UCSD0004,UCSD0004-RK,UCSD0004-RK-1-1-1,BUKMAP_20190529F_SNARE2-AC,kidney,SNAREseq2,Epigenomics,Y,HIVE,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,10446,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/1e4f36238979459b6cb35f3a36bb299d,/hive/hubmap/lz//University of California San Diego TMC/1e4f36238979459b6cb35f3a36bb299d,b1lake@ucsd.edu,2020-01-02 17:03:46,,,,,,,,,,,,,,
UCSD/WASHU,HBM673.WGZS.593,UCSD0004,UCSD0004-RK,UCSD0004-RK-2-1-1,BUKMAP_20190529G_SNARE2-R,kidney,SNAREseq2,Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,14993,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/fa18feb84ec1c2fd66286ac47da24b9c,/hive/hubmap/lz//University of California San Diego TMC/fa18feb84ec1c2fd66286ac47da24b9c,b1lake@ucsd.edu,2020-01-02 17:07:42,,,,,,,,,,,,,,
UCSD/WASHU,HBM455.ZPNN.623,UCSD0004,UCSD0004-RK,UCSD0004-RK-2-1-1,BUKMAP_20190529G_SNARE2-AC,kidney,SNAREseq2,Epigenomics,Y,HIVE,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,25393,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/059d18392b5a8805337a0c8ef5d19b46,/hive/hubmap/lz//University of California San Diego TMC/059d18392b5a8805337a0c8ef5d19b46,b1lake@ucsd.edu,2020-01-02 17:12:41,,,,,,,,,,,,,,
Florida/Zurich,HBM895.WHGJ.263,UFL0004,UFL0004-TH,UFL0004-TH-2-1,HBMP1_thymus_2,thymus,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,8193,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/b40eb3abccf2341f274cfd4ba809c03e,"/hive/hubmap/lz//University of Florida TMC/b40eb3abccf2341f274cfd4ba809c03e
",jesus.penalozaa@ufl.edu,2019-12-14 20:42:12,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,8193,95.7,54584,1403,SI-GA-E5,UFL0004-TH-2-1
Florida/Zurich,HBM984.GRBB.858,UFL0004,UFL0004-SP,UFL0004-SP-2-1,HBMP1_spleen_2,spleen,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,8621,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/7fd04d1aba61c35843dd2eb6a19d2545,/hive/hubmap/lz//University of Florida TMC/7fd04d1aba61c35843dd2eb6a19d2545,jesus.penalozaa@ufl.edu,2019-12-18 19:52:55,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,8621,95.4,58127,1483,SI-GA-E4,UFL0004-SP-2-1
Florida/Zurich,HBM226.LBVC.946,UFL0004,UFL0004-LY05,UFL0004-LY05-1,HBMP1_lymph_node_1,lymph node,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,15091,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/617aa0f0fc9a4ad38ecd96afad012575,/hive/hubmap/lz//University of Florida TMC/617aa0f0fc9a4ad38ecd96afad012575,jesus.penalozaa@ufl.edu,2019-12-18 19:57:15,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,15091,96.3,30863,1308,SI-GA-E6,UFL0004-LY-05-1
Florida/Zurich,HBM373.RTKK.586,UFL0002,UFL0002-TH,UFL0002-TH-2-1,HBMP2_thymus_2,thymus,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,13825,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/4081680ef553db5f91fb3587dde595b6,/hive/hubmap/lz//University of Florida TMC/4081680ef553db5f91fb3587dde595b6,jesus.penalozaa@ufl.edu,2019-12-18 19:58:43,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,13825,95.7,39233,2373,SI-GA-E8,UFL0002-TH-2-1
Florida/Zurich,HBM472.NTNN.543,UFL0002,UFL0002-SP,UFL0002-SP-2-2,HBMP2_spleen_2,spleen,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,11532,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/3683b49e27133c064ccbd59ff9723e7c,/hive/hubmap/lz//University of Florida TMC/3683b49e27133c064ccbd59ff9723e7c,jesus.penalozaa@ufl.edu,2019-12-18 20:01:10,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,11532,96.5,44748,1275,SI-GA-E7,UFL0002-SP-2-2
Florida/Zurich,HBM252.HMBK.543,UFL0002,UFL0002-LY01,UFL0002-LY01-2,HBMP2_lymph_node_1,lymph node,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,10633,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/a5234e06fed9a14ee8d29c5aa0258ba5,/hive/hubmap/lz//University of Florida TMC/a5234e06fed9a14ee8d29c5aa0258ba5,jesus.penalozaa@ufl.edu,2019-12-18 20:03:10,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,10633,96.7,40718,1288,SI-GA-E9,UFL0002-LN-01-2
Florida/Zurich,HBM457.SQKR.279,UFL0001,UFL0001-TH,UFL0001-TH-1-2,HBMP3_thymus_1,thymus,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,21513,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/c03acf2de0caff5e5850e0f76d555e1b,/hive/hubmap/lz//University of Florida TMC/c03acf2de0caff5e5850e0f76d555e1b,jesus.penalozaa@ufl.edu,2019-12-18 20:28:44,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,21513,85.5,22248,1119,SI-GA-E2,UFL0001-TH-1-2
Florida/Zurich,HBM724.ZKSM.924,UFL0001,UFL0001-TH,UFL0001-TH-2-1,HBMP3_thymus_2,thymus,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,18319,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/8776e9183d5f85d90535a0b1b3b4e32a,/hive/hubmap/lz//University of Florida TMC/8776e9183d5f85d90535a0b1b3b4e32a,jesus.penalozaa@ufl.edu,2019-12-18 20:34:50,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,18319,87,20314,1689,SI-GA-E3,UFL0001-TH-2-1
Florida/Zurich,HBM749.WHLC.649,UFL0001,UFL0001-SP,UFL0001-SP-1-3,HBMP3_spleen_CC1,spleen,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,7739,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/399643b5aed6b71edee96d4bf9e0d306,/hive/hubmap/lz//University of Florida TMC/399643b5aed6b71edee96d4bf9e0d306,jesus.penalozaa@ufl.edu,2019-12-18 20:44:19,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,7739,85,56175,951,SI-GA-D8,UFL0001-SP-1-3
Florida/Zurich,HBM556.QMSM.776,UFL0001,UFL0001-SP,UFL0001-SP-2-8,HBMP3_spleen_CC2,spleen,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,11551,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/8a238da50c0c0436510b857c21e4e792,/hive/hubmap/lz//University of Florida TMC/8a238da50c0c0436510b857c21e4e792,jesus.penalozaa@ufl.edu,2019-12-18 20:49:30,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,11551,86.1,39995,571,SI-GA-D9,UFL0001-SP-2-8
Florida/Zurich,HBM336.FWTN.636,UFL0001,UFL0001-SP,UFL0001-SP-3-4,HBMP3_spleen_CC3,spleen,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,14260,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/2dca1bf5832a4102ba780e9e54f6c350,/hive/hubmap/lz//University of Florida TMC/2dca1bf5832a4102ba780e9e54f6c350,jesus.penalozaa@ufl.edu,2019-12-18 20:52:05,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,14260,87.5,62803,494,SI-GA-D10,UFL0001-SP-3-4
Florida/Zurich,HBM396.RPRR.624,UFL0003,UFL0003-SP,UFL0003-SP-2-2,HBMP4_spleen_2,spleen,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,FASTQ,11074,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/ed8a4dbbb1554a5e3227d6dfb2368828,/hive/hubmap/lz//University of Florida TMC/ed8a4dbbb1554a5e3227d6dfb2368828,jesus.penalozaa@ufl.edu,2019-12-18 21:14:53,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,11074,93.2,38098,1234,SI-GA-E10,UFL0003-SP-2-2
Florida/Zurich,HBM666.HTJG.793,UFL0004,UFL0003-LY06,UFL0003-LY06-1,HBMP4_lymph_node_1,lymph node,scRNA-Seq (10xGenomics),Transcriptomics,Y,,N,,Y,,Y,,Consent or Waiver with Local Honest broker ,FASTQ,11859,NovaSeq,6000,CellRanger 3.1.0,3.1.0,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=%2FUniversity%20of%20Florida%20TMC%2F6202e01a99ad81e7f1a2e6919534785e%2F,/hive/hubmap/lz/University of Florida TMC/6202e01a99ad81e7f1a2e6919534785e/,jesus.penalozaa@ufl.edu,,S4,225 pM,0.01,2X150,Paired,Single Cell 3' v3,hg38,CellRanger 3.1.0,11859,95.5,34341,1077,SI-GA-E11,
Florida/Zurich,HBM342.JTKN.834,UFL0001,UFL0001-LY06,UFL0001-LY06-1-1,19-003-LN-R3,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,"Akoya Box, Keyence",CODEX v.1,Codex Toolkit,1.6.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/5c5ac37add144e8a9707d2cd7791e694,/hive/hubmap/lz//University of Florida TMC/5c5ac37add144e8a9707d2cd7791e694,jesus.penalozaa@ufl.edu,2019-12-20 19:52:58,,,,,,,,,,,,,,
Florida/Zurich,HBM279.TQRS.775,UFL0001,UFL0001-LY04,UFL0001-LY04-2-1,19-003-LN-R2,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,"Akoya Box, Keyence",CODEX v.1,Codex Toolkit,1.6.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/077f7862f6306055899374c7807a30c3,/hive/hubmap/lz//University of Florida TMC/077f7862f6306055899374c7807a30c3,jesus.penalozaa@ufl.edu,2020-01-28 17:23:26,,,,,,,,,,,,, ,
Florida/Zurich,HBM426.LLTT.655,UFL0001,UFL0001-LY01,UFL0001-LY01-1-1,19-003-LN-R1,lymph node,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,"Akoya Box, Keyence",CODEX v.1,Codex Toolkit,1.6.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/bdcaa8d710bfb837dc2982c1cc4f67c8,/hive/hubmap/lz//University of Florida TMC/bdcaa8d710bfb837dc2982c1cc4f67c8,jesus.penalozaa@ufl.edu,2019-12-20 19:51:22,,,,,,,,,,,,,,
Florida/Zurich,HBM432.LLCF.677,UFL0001,UFL0001-SP,UFL0001-SP-2-5-1,19-003-SP-CC2-E,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,"Akoya Box, Keyence",CODEX v.1,Codex Toolkit,1.6.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/75edcda4f3ff5bef72383d5d082438c2,/hive/hubmap/lz//University of Florida TMC/75edcda4f3ff5bef72383d5d082438c2,jesus.penalozaa@ufl.edu,2019-12-20 19:43:39,,,,,,,,,,,,,,
Florida/Zurich,HBM558.SRZG.629,UFL0002,UFL0002-SP,UFL0002-SP-3-4-1,19-002-SP-CC3-C,spleen,CODEX,MxIF,Y,HIVE,Y,,Y,,N,https://drive.google.com/drive/folders/13xNmZ-fF0LdXvoMO-MvRqEGeKO8LP24G,Consent or Waiver with Local Honest broker ,"JSON, Tiff, Txt, FCS",raw = ~85Gb ; drv = ~15Gb ; total = ~100 Gb; region size = 7x9 tiles,"Akoya Box, Keyence",CODEX v.1,Codex Toolkit,1.6.0.16,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20Florida%20TMC/b7a2c05fdd9ddd0c83c9786ede98a24e,/hive/hubmap/lz//University of Florida TMC/b7a2c05fdd9ddd0c83c9786ede98a24e,jesus.penalozaa@ufl.edu,2019-12-20 19:41:08,,,,,,,,,,,,,,
